ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,report_date
MPC,Marathon Petroleum Corporation,2016-07-28T00:00:00.000Z,TNS,0.97,1.07,10.77,EDT,0,EQUITY,2016-07-28
MPC,Marathon Petroleum Corporation,2016-10-27T00:00:00.000Z,TNS,0.81,0.58,-28.48,EDT,0,EQUITY,2016-10-27
MPC,Marathon Petroleum Corporation,2017-02-01T00:00:00.000Z,TNS,0.26,0.43,65.38,EDT,0,EQUITY,2017-02-01
MPC,Marathon Petroleum Corporation,2017-04-27T00:00:00.000Z,TNS,-0.05,0.06,225.0,EDT,0,EQUITY,2017-04-27
MPC,Marathon Petroleum Corporation,2017-07-27T00:00:00.000Z,TNS,1.07,1.03,-3.38,EDT,0,EQUITY,2017-07-27
MPC,Marathon Petroleum Corporation,2017-10-26T00:00:00.000Z,TNS,1.49,1.77,19.19,EDT,0,EQUITY,2017-10-26
MPC,Marathon Petroleum Corporation,2018-02-01T00:00:00.000Z,TNS,0.95,1.03,8.08,EDT,0,EQUITY,2018-02-01
MPC,Marathon Petroleum Corporation,2018-04-30T00:00:00.000Z,TNS,0.16,0.08,-48.72,EDT,0,EQUITY,2018-04-30
MPC,Marathon Petroleum Corporation,2018-07-26T00:00:00.000Z,TNS,2.03,2.27,12.04,EDT,0,EQUITY,2018-07-26
MPC,Marathon Petroleum Corporation,2018-11-01T00:00:00.000Z,TNS,1.7,1.62,-4.71,EDT,0,EQUITY,2018-11-01
MPC,Marathon Petroleum Corporation,2019-02-07T00:00:00.000Z,TNS,1.96,2.22,13.5,EDT,0,EQUITY,2019-02-07
MPC,Marathon Petroleum Corporation,2019-05-08T00:00:00.000Z,TNS,0.05,-0.09,-276.47,EDT,0,EQUITY,2019-05-08
MPC,Marathon Petroleum Corporation,2019-08-01T00:00:00.000Z,TNS,1.33,1.73,30.57,EDT,0,EQUITY,2019-08-01
MPC,Marathon Petroleum Corporation,2019-10-31T00:00:00.000Z,TNS,1.38,1.63,17.95,EDT,0,EQUITY,2019-10-31
MPC,Marathon Petroleum Corporation,2020-01-29T00:00:00.000Z,TNS,0.86,1.56,81.18,EDT,0,EQUITY,2020-01-29
MPC,Marathon Petroleum Corporation,2020-05-05T00:00:00.000Z,TNS,-0.31,-0.16,48.39,EDT,0,EQUITY,2020-05-05
MPC,Marathon Petroleum Corporation,2020-08-03T00:00:00.000Z,TNS,-1.75,-1.33,24.0,EDT,0,EQUITY,2020-08-03
MPC,Marathon Petroleum Corporation,2020-11-02T00:00:00.000Z,TNS,-1.7,-1.0,41.21,EDT,0,EQUITY,2020-11-02
MKTX,MarketAxess Holdings Inc.,2005-02-09T00:00:00.000Z,TNS,0.06,0.09,50.0,EDT,0,EQUITY,2005-02-09
MKTX,MarketAxess Holdings Inc.,2005-05-04T00:00:00.000Z,TNS,0.1,0.09,-6.9,EDT,0,EQUITY,2005-05-04
MKTX,MarketAxess Holdings Inc.,2005-08-10T00:00:00.000Z,TNS,0.05,0.05,0.0,EDT,0,EQUITY,2005-08-10
MKTX,MarketAxess Holdings Inc.,2005-11-01T00:00:00.000Z,TNS,0.03,0.03,0.0,EDT,0,EQUITY,2005-11-01
MKTX,MarketAxess Holdings Inc.,2006-02-08T00:00:00.000Z,TNS,0.03,0.03,0.0,EDT,0,EQUITY,2006-02-08
MKTX,MarketAxess Holdings Inc.,2006-05-03T00:00:00.000Z,TNS,0.03,0.03,20.0,EDT,0,EQUITY,2006-05-03
MKTX,MarketAxess Holdings Inc.,2006-08-02T00:00:00.000Z,TNS,0.02,0.02,0.0,EDT,0,EQUITY,2006-08-02
MKTX,MarketAxess Holdings Inc.,2006-11-01T00:00:00.000Z,TNS,0.04,0.04,9.08,EDT,0,EQUITY,2006-11-01
MKTX,MarketAxess Holdings Inc.,2007-02-07T00:00:00.000Z,TNS,0.05,0.06,20.0,EDT,0,EQUITY,2007-02-07
MKTX,MarketAxess Holdings Inc.,2007-05-02T00:00:00.000Z,TNS,0.07,0.07,0.0,EDT,0,EQUITY,2007-05-02
MKTX,MarketAxess Holdings Inc.,2007-08-01T00:00:00.000Z,TNS,0.08,0.1,25.0,EDT,0,EQUITY,2007-08-01
MKTX,MarketAxess Holdings Inc.,2007-10-31T00:00:00.000Z,TNS,0.06,0.07,16.67,EDT,0,EQUITY,2007-10-31
